grubby	8.40-68.el9.x86_64
gzip	1.12-1.el9.x86_64
harfbuzz	2.7.4-10.el9.x86_64
haveged	1.9.18-1.el9.x86_64
hdparm	9.62-2.el9.x86_64
hostname	3.23-6.el9.x86_64
hwdata	0.348-9.20.el9.noarch
ima-evm-utils	1.6.2-2.el9.rocky.0.2.x86_64
info	6.7-15.el9.x86_64
inih	49-6.el9.x86_64
initscripts-rename-device	10.11.8-4.el9.x86_64
initscripts-service	10.11.8-4.el9.noarch
iproute	6.14.0-2.el9.x86_64
iproute-tc	6.14.0-2.el9.x86_64
ipset	7.11-11.el9_5.x86_64
ipset-libs	7.11-11.el9_5.x86_64
iptables-libs	1.8.10-11.el9_5.x86_64
iptables-nft	1.8.10-11.el9_5.x86_64
iputils	20210202-15.el9.x86_64
irqbalance	1.9.4-4.el9.x86_64
jansson	2.14-1.el9.0.1.x86_64
jq	1.6-19.el9.x86_64
json-c	0.14-11.el9.x86_64
kbd	2.4.0-11.el9.x86_64
kbd-legacy	2.4.0-11.el9.noarch
kbd-misc	2.4.0-11.el9.noarch
kernel	5.14.0-362.13.1.el9_3.x86_64
kernel	5.14.0-611.36.1.el9_7.x86_64
kernel-core	5.14.0-362.13.1.el9_3.x86_64
kernel-core	5.14.0-611.36.1.el9_7.x86_64
kernel-devel	5.14.0-362.13.1.el9_3.x86_64
kernel-devel	5.14.0-611.36.1.el9_7.x86_64
kernel-headers	5.14.0-611.36.1.el9_7.x86_64
kernel-modules	5.14.0-362.13.1.el9_3.x86_64
kernel-modules	5.14.0-611.36.1.el9_7.x86_64
kernel-modules-core	5.14.0-362.13.1.el9_3.x86_64
kernel-modules-core	5.14.0-611.36.1.el9_7.x86_64
kernel-tools	5.14.0-611.36.1.el9_7.x86_64
kernel-tools-libs	5.14.0-611.36.1.el9_7.x86_64
kexec-tools	2.0.29-10.el9.x86_64
keyutils	1.6.3-1.el9.x86_64
keyutils-libs	1.6.3-1.el9.x86_64
kmod	28-11.el9.x86_64
kmod-libs	28-11.el9.x86_64
kpartx	0.8.7-39.el9_7.1.x86_64
krb5-libs	1.21.1-8.el9_6.x86_64
langpacks-core-en	3.0-16.el9.noarch
langpacks-core-font-en	3.0-16.el9.noarch
langpacks-en	3.0-16.el9.noarch
less	590-6.el9.x86_64
libacl	2.3.1-4.el9.x86_64
libaio	0.3.111-13.el9.x86_64
libarchive	3.5.3-6.el9_6.x86_64
libassuan	2.5.5-3.el9.x86_64
libattr	2.5.1-3.el9.x86_64
libbabeltrace	1.5.8-10.el9.x86_64
libbasicobjects	0.1.1-53.el9.x86_64
libblkid	2.37.4-21.el9_7.x86_64
libbpf	1.5.0-2.el9.x86_64
libbrotli	1.0.9-9.el9_7.x86_64
libcap	2.48-10.el9.x86_64
libcap-ng	0.8.2-7.el9.x86_64
libcap-ng-python3	0.8.2-7.el9.x86_64
libcbor	0.7.0-5.el9.x86_64
libcollection	0.7.0-53.el9.x86_64
libcom_err	1.46.5-8.el9.x86_64
libcomps	0.1.18-1.el9.x86_64
libcurl	7.76.1-35.el9_7.3.x86_64
libdaemon	0.14-23.el9.x86_64
libdb	5.3.28-57.el9_6.x86_64
